0.000001	0	1	2	3	4	5	6	7	8	9
0	1	0	0	0	0	0	0	0	0	0
0.000005	0.637684802	0.302843648	0.047837813	0.011633737	0	0	0	0	0	0
0.00001	0.30896052	0.405425475	0.207764635	0.059746308	0.013351014	0.004752049	0	0	0	0
0.000025	0.03480511	0.159520971	0.251318218	0.224812664	0.14404995	0.081053025	0.049335123	0.052542135	0.002562804	0
0.00003	0.020601908	0.117989091	0.216584934	0.208989443	0.155803043	0.09538736	0.077564189	0.098377445	0.008702588	0
0.00004	0.011635063	0.07280732	0.161798651	0.185044699	0.156553069	0.114711811	0.113886146	0.167272901	0.01629034	0
0.00005	0	0.014666116	0.04509193	0.094923689	0.122665515	0.133593246	0.176135489	0.349378487	0.063545529	0
0.0001	0	0	0	0	0.010537594	0.027637821	0.087507854	0.548702397	0.26810691	0.057507424
