5.4	10.42423227	10.73676739	10.93646605	11.12504934	11.3762865	11.63160398	14.28010098
5.4	10.57323705	10.8753531	10.80533427	11.15069115	11.56869994	11.99634168	14.00041224
5.4	10.46244761	10.87780462	10.96194226	11.17913375	11.43232467	11.64383363	13.86195518
10.6	10.22817441	10.61046006	10.72436326	10.86289844	11.21781117	11.62366319	13.91051614
10.6	10.31658831	10.63403172	10.68342075	10.97655222	11.33171177	11.7279799	13.67609514
10.6	10.27962466	10.57762607	10.76551179	10.91450988	11.20072236	11.5753936	13.85766782
15.8	10.22811495	10.61091339	10.72027298	10.86363655	11.21849293	11.63167931	13.9049821
15.8	10.19874591	10.34243661	10.55260815	10.78045777	11.09163697	11.57936578	13.42677335
15.8	10.18083943	10.44081168	10.57787239	10.71923604	11.06557159	11.58567452	13.52973437
21.5	10.04141644	10.31750548	10.40982111	10.62357577	10.98245479	11.61773776	13.41261055
21.5	10.05471052	10.32194213	10.43902393	10.63878853	10.97614975	11.55873564	13.22473353
21.5	10.08482393	10.32011143	10.43111391	10.59354049	10.94087514	11.53512373	13.33365106
26.3	10.03826068	10.29182496	10.31538737	10.58100283	10.9805964	11.55250594	13.29367683
26.3	10.03647733	10.24546312	10.34824432	10.62548274	10.92666216	11.53653311	13.12616653
26.3	9.997920701	10.3194209	10.44462463	10.64513975	10.98396722	11.49598831	13.13333246
31.4	10.02204553	10.21303093	10.24604871	10.51048339	10.87645817	11.62296353	13.09675641
31.4	9.988990061	10.19997322	10.30126246	10.4945415	10.84561641	11.54931086	13.00141463
31.4	9.99698072	10.25691062	10.4362288	10.65006121	10.95814737	11.53329247	12.97292769
36.2	9.984706762	10.16476468	10.15212312	10.45139782	10.85209446	11.60317904	12.88418569
36.2	9.997132761	10.14866631	10.29496874	10.53848006	10.87700997	11.49918171	12.82475635
36.2	9.942489725	10.28010664	10.42751809	10.63108325	10.94253541	11.54737579	12.79564782
