75uM_vT_3_35C,75uM_vT_3_10C,75uM_vT_3_30C,75uM_vT_3_15C,75uM_vT_3_5C,75uM_vT_3_25C,20uM_vT_3_10C,20uM_vT_3_40C,20uM_vT_3_15C,20uM_vT_3_30C,20uM_vT_3_25C,20uM_vT_3_5C,20uM_vT_3_35C,20uM_vT_3_20C,50uM_vT_3_25C,50uM_vT_3_15C,50uM_vT_3_35C,50uM_vT_3_5C,50uM_vT_3_10C,50uM_vT_3_30C,50uM_vT_3_20C,75uM_vT_3_35C_MOL,75uM_vT_3_10C_MOL,75uM_vT_3_30C_MOL,75uM_vT_3_15C_MOL,75uM_vT_3_5C_MOL,75uM_vT_3_25C_MOL,20uM_vT_3_10C_MOL,20uM_vT_3_40C_MOL,20uM_vT_3_15C_MOL,20uM_vT_3_30C_MOL,20uM_vT_3_25C_MOL,20uM_vT_3_5C_MOL,20uM_vT_3_35C_MOL,20uM_vT_3_20C_MOL,50uM_vT_3_25C_MOL,50uM_vT_3_15C_MOL,50uM_vT_3_35C_MOL,50uM_vT_3_5C_MOL,50uM_vT_3_10C_MOL,50uM_vT_3_30C_MOL,50uM_vT_3_20C_MOL
47.731979,39.461228,53.211472,45.626654,34.532195,49.094235,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,54.0312,53.572344,57.004458,45.206922,46.666961,51.646167,57.80294,0.15783244949889286,0.11709197301018467,0.16965742604907996,0.1453402655095353,0.09932040885827086,0.15860074008693992,0.5358052501370376,0.532499277584855,0.5674248186656391,0.5599467544391418,0.5672953418517191,0.4940450014031125,0.5520455121777513,0.5842557324265794,0.18742027465836442,0.1858382459821193,0.170230503490953,0.1355085171133236,0.15213994166085112,0.16815938598182228,0.20311247857030765
100.0,96.959509,100.0,100.0,88.285375,100.0,63.186254,61.56515,57.713099,58.632522,56.338629,69.531435,59.14979,54.835039,100.0,100.0,100.0,97.943218,100.0,100.0,100.0,0.33066395486952854,0.2877046859998568,0.3188361826357293,0.3185424587775717,0.2539236078449622,0.32305369477076057,0.3385552662969239,0.3278339789940324,0.32747844734707077,0.32831090398481577,0.3196064179801218,0.3435165790213543,0.3265337611575644,0.3203768587358504,0.34687416651557695,0.34689213147388004,0.29862665037698105,0.29358646077445805,0.32601210449690765,0.3255989664863654,0.35138779890833866
85.623932,100.0,87.405902,89.839035,100.0,87.904536,17.9708,19.082886,14.534805,14.911136,14.944054,23.718657,16.10691,12.646659,76.000648,78.536274,87.543655,100.0,86.911141,81.289822,74.913966,0.2831274798659958,0.29672663255736664,0.2786816413351266,0.28617547103104324,0.2876168423648449,0.28397885141909335,0.09628848989162675,0.10161623009234143,0.08247409091465426,0.08349442208200647,0.0847769222258055,0.11718083930844946,0.08891747380550945,0.07388883016794191,0.2636266142964375,0.2724361548587667,0.2614286845440805,0.2997516997802319,0.2833408398163747,0.2646788202906061,0.2632385362023412
41.873015,59.430739,46.098779,49.219141,70.108307,46.545867,5.477922,7.145646,3.986897,5.044751,4.992341,9.160619,5.887785,3.676229,36.062799,35.365428,50.700589,54.552443,45.18934,43.751599,33.899503,0.13845896742211092,0.1763468305386576,0.14697958720528123,0.1567838619305999,0.2016432988288515,0.1503681431065842,0.029350993674411813,0.03805051332877109,0.022622643072635805,0.028247919494036145,0.028321317942353534,0.0452575802670838,0.03250325285917482,0.021478578669628316,0.12509253345343782,0.12267988699406039,0.15140547065210014,0.16352187516414213,0.14732271834226288,0.14245475416525896,0.11911871743256625
18.033438,27.538189,18.493551,20.997905,36.550841,17.738933,,,,,,,,,14.434242,14.232891,24.406123,24.668984,19.597856,19.541898,12.250732,0.05963007928974441,0.08171314088698316,0.058964132042191746,0.06688724287877867,0.1051263747419951,0.05730627846940972,,,,,,,,,0.050068656630341345,0.04937277896025404,0.07288318760178597,0.07394569885851345,0.06389138278187348,0.06362821791981971,0.04304757752495949
9.159471,13.620866,8.430985,8.247158,18.208067,8.262494,,,,,,,,,7.760092,6.567114,15.21147,11.237884,8.371779,10.896796,5.718722,0.030287069053727553,0.04041673700695128,0.026881030732590943,0.02627069987247121,0.052369467361075346,0.02669229214721241,,,,,,,,,0.02691775444584197,0.022780801730919585,0.045425503334099365,0.033685748309330715,0.027293012901730168,0.0354798551561276,0.02009489136148692
